name,description
Groceries,Supermarket and food shopping
Utilities,Bills like electricity water and gas
Internet,Home internet subscription
Mobile,Mobile phone plan
Public Transport,Bus metro or train tickets
Parking,Parking fees
Maintenance,Vehicle maintenance costs
Insurance,General insurance payments
Health Care,Medical and health related expenses
Pharmacy,Medicine and pharmacy products
Gym,Gym or fitness membership
Subscriptions,Online subscriptions
Streaming,Streaming services like movies and music
Entertainment,Leisure and entertainment spending
Movies,Movie tickets or rentals
Music,Music related expenses
Games,Video games or gaming subscriptions
Eating Out,Restaurants and dining out
Fast Food,
Coffee,Coffee shops and cafes
Alcohol,Alcoholic drinks
Travel,Travel related expenses
Flights,Airplane tickets
Hotels,Hotel stays
Vacation,
Education,Education and learning expenses
Courses,Online or in person courses
Books,Books and reading materials
Supplies,Office or school supplies
Clothing,Clothes and apparel
Shoes,Footwear purchases
Accessories,
Electronics,Electronic devices and gadgets
Software,Software licenses or apps
Hardware,Computer or device hardware
Repairs,Repair services
Home Decoration,Home decoration items
Furniture,Furniture purchases
Cleaning,Cleaning products or services
Laundry,Laundry services
Childcare,Child related expenses
Toys,Toys and games for children
Pets,Pet related expenses
Pet Food,Food for pets
Pet Care,Veterinary and pet care
Gifts,Gifts for others
Donations,Charity and donations
Taxes,Taxes and government fees
Fees,Bank or service fees
Bank Charges,
Investments,Money invested
Interest,Interest payments
Business,
Advertising,
Tools,Work tools and utilities
